Application,ProcessID,SwapChainAddress,Runtime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsUntilRenderComplete,MsUntilDisplayed
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.603275,5.11,5.249,0.111,4.816,4.816
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.607983,4.708,4.758,0.132,4.867,4.867
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.613825,5.842,5.802,0.107,4.826,4.826
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.617908,4.083,4.829,0.109,5.571,5.571
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.623475,5.567,4.931,0.153,4.936,4.936
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.628116,4.641,5.078,0.112,5.373,5.373
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.633643,5.527,5.057,0.108,4.902,4.902
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.638483,4.84,4.792,0.126,4.855,4.855
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.643903,5.42,5.251,0.114,4.686,4.686
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.651798,7.895,7.989,0.117,4.779,4.779
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.657735,5.937,5.788,0.111,4.63,4.63
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.66305,5.316,5.453,0.141,4.768,4.768
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.667519,4.469,4.771,0.117,5.07,5.07
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.673107,5.588,5.292,0.102,4.775,4.775
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.67762,4.513,4.85,0.112,5.112,5.112
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.683354,5.734,5.308,0.114,4.686,4.686
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.688325,4.972,4.773,0.104,4.487,4.487
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.692717,4.392,4.739,0.158,4.835,4.835
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.697751,5.033,4.833,0.117,4.635,4.635
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.702737,4.987,5.029,0.116,4.677,4.677
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.708188,5.451,5.536,0.103,4.763,4.763
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.712401,4.213,4.74,0.111,5.289,5.289
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.717926,5.525,4.923,0.112,4.687,4.687
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.722434,4.508,4.794,0.127,4.973,4.973
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.727946,5.512,5.307,0.1,4.767,4.767
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.7325,4.554,4.877,0.126,5.09,5.09
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.737527,5.027,4.745,0.17,4.809,4.809
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.742958,5.432,5.415,0.108,4.793,4.793
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.750798,7.839,7.701,0.123,4.654,4.654
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.756766,5.969,6.065,0.123,4.75,4.75
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.76166,4.894,4.75,0.112,4.607,4.607
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.766886,5.226,5.392,0.102,4.772,4.772
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.771065,4.179,4.854,0.117,5.447,5.447
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.776578,5.512,4.768,0.109,4.703,4.703
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.781245,4.667,4.755,0.133,4.79,4.79
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.786111,4.866,4.783,0.117,4.707,4.707
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.79113,5.019,5.209,0.119,4.897,4.897
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.796325,5.195,4.876,0.101,4.578,4.578
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.801101,4.777,4.874,0.114,4.676,4.676
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.805789,4.687,4.757,0.12,4.746,4.746
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.811095,5.306,5.328,0.119,4.767,4.767
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.815673,4.578,4.901,0.116,5.09,5.09
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.821399,5.726,5.366,0.102,4.73,4.73
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.825699,4.299,4.84,0.128,5.27,5.27
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.831483,5.785,5.285,0.105,4.77,4.77
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.836006,4.523,4.779,0.116,5.027,5.027
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.841354,5.347,5.153,0.11,4.832,4.832
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.849243,7.889,7.873,0.126,4.816,4.816
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.855064,5.821,5.771,0.123,4.767,4.767
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.86015,5.086,5.101,0.113,4.781,4.781
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.86481,4.66,4.81,0.231,4.931,4.931
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.870547,5.736,5.542,0.109,4.737,4.737
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.874883,4.337,4.836,0.121,5.237,5.237
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.879919,5.036,4.755,0.131,4.956,4.956
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.884939,5.021,4.724,0.11,4.659,4.659
Three_Kingdoms.exe,2032,0x0000000006BB2010,DXGI,0,0,1,Hardware Composed: Independent Flip,0,0.889967,5.028,5.042,0.109,4.673,4.673
